instrument_id,symbol,market,asset_class,source,added_on,active,price_eligible,price_source,inactive_on
32Ad_EQ,32Ad,,EQ,trading212,2025-12-26,True,False,none,
32XGd_EQ,32XGd,,EQ,trading212,2025-12-26,True,False,none,
33GId_EQ,33GId,,EQ,trading212,2025-12-26,True,False,none,
33Ld_EQ,33Ld,,EQ,trading212,2025-12-26,True,False,none,
34GId_EQ,34GId,,EQ,trading212,2025-12-26,True,False,none,
34Ud_EQ,34Ud,,EQ,trading212,2025-12-26,True,False,none,
35AId_EQ,35AId,,EQ,trading212,2025-12-26,True,False,none,
36B1d_EQ,36B1d,,EQ,trading212,2025-12-26,True,False,none,
36B3d_EQ,36B3d,,EQ,trading212,2025-12-26,True,False,none,
36B41d_EQ,36B41d,,EQ,trading212,2025-12-26,True,False,none,
36B5d_EQ,36B5d,,EQ,trading212,2025-12-26,True,False,none,
36B6d_EQ,36B6d,,EQ,trading212,2025-12-26,True,False,none,
36B7d_EQ,36B7d,,EQ,trading212,2025-12-26,True,False,none,
36BAd_EQ,36BAd,,EQ,trading212,2025-12-26,True,False,none,
36BBd_EQ,36BBd,,EQ,trading212,2025-12-26,True,False,none,
36BDd_EQ,36BDd,,EQ,trading212,2025-12-26,True,False,none,
36BZd_EQ,36BZd,,EQ,trading212,2025-12-26,True,False,none,
36Ed_EQ,36Ed,,EQ,trading212,2025-12-26,True,False,none,
37Cd_EQ,37Cd,,EQ,trading212,2025-12-26,True,False,none,
39EAd_EQ,39EAd,,EQ,trading212,2025-12-26,True,False,none,
3ABEl_EQ,3ABEl,,EQ,trading212,2025-12-26,True,False,none,
3ADEl_EQ,3ADEl,,EQ,trading212,2025-12-26,True,False,none,
3AG1d_EQ,3AG1d,,EQ,trading212,2025-12-26,True,False,none,
3AMEl_EQ,3AMEl,,EQ,trading212,2025-12-26,True,False,none,
3APEl_EQ,3APEl,,EQ,trading212,2025-12-26,True,False,none,
3AREl_EQ,3AREl,,EQ,trading212,2025-12-26,True,False,none,
3BAEl_EQ,3BAEl,,EQ,trading212,2025-12-26,True,False,none,
3BALm_EQ,3BALm,,EQ,trading212,2025-12-26,True,False,none,
3BBEl_EQ,3BBEl,,EQ,trading212,2025-12-26,True,False,none,
3BIEl_EQ,3BIEl,,EQ,trading212,2025-12-26,True,False,none,
3BPEl_EQ,3BPEl,,EQ,trading212,2025-12-26,True,False,none,
3BRLl_EQ,3BRLl,,EQ,trading212,2025-12-26,True,False,none,
3BRLm_EQ,3BRLm,,EQ,trading212,2025-12-26,True,False,none,
3BRSl_EQ,3BRSl,,EQ,trading212,2025-12-26,True,False,none,
3BRSm_EQ,3BRSm,,EQ,trading212,2025-12-26,True,False,none,
3BTLm_EQ,3BTLm,,EQ,trading212,2025-12-26,True,False,none,
3BTSm_EQ,3BTSm,,EQ,trading212,2025-12-26,True,False,none,
3BULm_EQ,3BULm,,EQ,trading212,2025-12-26,True,False,none,
3BUSm_EQ,3BUSm,,EQ,trading212,2025-12-26,True,False,none,
3BXd_EQ,3BXd,,EQ,trading212,2025-12-26,True,False,none,
3CFLl_EQ,3CFLl,,EQ,trading212,2025-12-26,True,False,none,
3CFLm_EQ,3CFLm,,EQ,trading212,2025-12-26,True,False,none,
3CHEl_EQ,3CHEl,,EQ,trading212,2025-12-26,True,False,none,
3CNEl_EQ,3CNEl,,EQ,trading212,2025-12-26,True,False,none,
3CPd_EQ,3CPd,,EQ,trading212,2025-12-26,True,False,none,
3CREl_EQ,3CREl,,EQ,trading212,2025-12-26,True,False,none,
3DECd_EQ,3DECd,,EQ,trading212,2025-12-26,True,False,none,
3DELl_EQ,3DELl,,EQ,trading212,2025-12-26,True,False,none,
3DESl_EQ,3DESl,,EQ,trading212,2025-12-26,True,False,none,
3DIEl_EQ,3DIEl,,EQ,trading212,2025-12-26,True,False,none,
3DXEl_EQ,3DXEl,,EQ,trading212,2025-12-26,True,False,none,
3E1d_EQ,3E1d,,EQ,trading212,2025-12-26,True,False,none,
3EDFl_EQ,3EDFl,,EQ,trading212,2025-12-26,True,False,none,
3EDSd_EQ,3EDSd,,EQ,trading212,2025-12-26,True,False,none,
3EMLl_EQ,3EMLl,,EQ,trading212,2025-12-26,True,False,none,
3EMLm_EQ,3EMLm,,EQ,trading212,2025-12-26,True,False,none,
3EMSl_EQ,3EMSl,,EQ,trading212,2025-12-26,True,False,none,
3EMSm_EQ,3EMSm,,EQ,trading212,2025-12-26,True,False,none,
3EULl_EQ,3EULl,,EQ,trading212,2025-12-26,True,False,none,
3EUSl_EQ,3EUSl,,EQ,trading212,2025-12-26,True,False,none,
3FBEl_EQ,3FBEl,,EQ,trading212,2025-12-26,True,False,none,
3FNEl_EQ,3FNEl,,EQ,trading212,2025-12-26,True,False,none,
3FNGl_EQ,3FNGl,,EQ,trading212,2025-12-26,True,False,none,
3FOd_EQ,3FOd,,EQ,trading212,2025-12-26,True,False,none,
3GDEl_EQ,3GDEl,,EQ,trading212,2025-12-26,True,False,none,
3GLEl_EQ,3GLEl,,EQ,trading212,2025-12-26,True,False,none,
3GOEl_EQ,3GOEl,,EQ,trading212,2025-12-26,True,False,none,
3GOLl_EQ,3GOLl,,EQ,trading212,2025-12-26,True,False,none,
3GOLm_EQ,3GOLm,,EQ,trading212,2025-12-26,True,False,none,
3GOSl_EQ,3GOSl,,EQ,trading212,2025-12-26,True,False,none,
3GOSm_EQ,3GOSm,,EQ,trading212,2025-12-26,True,False,none,
3HCLl_EQ,3HCLl,,EQ,trading212,2025-12-26,True,False,none,
3HCLm_EQ,3HCLm,,EQ,trading212,2025-12-26,True,False,none,
3HCSl_EQ,3HCSl,,EQ,trading212,2025-12-26,True,False,none,
3HCSm_EQ,3HCSm,,EQ,trading212,2025-12-26,True,False,none,
